sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-ssd-wave-p-512gb-m2-pcie-3-0-h-352;SSD WAVE (P) 512GB M2 PCIE 3.0 HIKSEMI;$ 142.000,00;$ 135.500,00
prod-disco-ssd-sata-480gb-2-5-hikse-166;DISCO SSD SATA 480GB 2.5 HIKSEMI;$ 137.500,00;$ 131.500,00
prod-disco-ssd-hiksemi-wave-960gb-255;Disco SSD hiksemi wave 960GB;$ 240.000,00;$ 229.500,00
prod-vga-msi-geforce-rtx-5050-ventu-538;VGA MSI GeForce RTX 5050 VENTUS 2X OC 8G;$ 576.000,00;$ 563.000,00
prod-vga-msi-geforce-rtx-5060-8g-ve-357;VGA MSI GeForce RTX 5060 8G VENTUS 2X OC WHITE;$ 728.500,00;$ 697.000,00
prod-vga-gigabyte-geforce-rtx-5050--811;VGA Gigabyte GeForce RTX 5050 8G GAMING OC;$ 615.000,00;$ 594.500,00
prod-c-mara-de-seguridad-tapo-c310--173;Cámara de seguridad TAPO C310 TP-Link;$ 55.500,00;$ 53.500,00
prod-teclado-gamer-raptor-fireclaw--391;Teclado Gamer Raptor Fireclaw M68 Mecanico Retroiluminado Switch Red Outemu wirelees;$ 36.500,00;$ 34.000,00
prod-auriculares-razer-blackshark-v-288;Auriculares Razer blackshark V2;$ 87.500,00;$ 87.500,00
prod-parlantes-para-pc-notebook-net-114;Parlantes Para Pc Notebook Netbook Audio Usb Mini Plug Noga Ng-106 Negro USB;$ 8.000,00;$ 6.500,00
prod-auriculares-raptor-shadow-rgb-611;Auriculares Raptor Shadow Rgb;$ 31.500,00;$ 31.500,00
prod-teclado-genius-scorpion-gaming-620;TECLADO GENIUS SCORPION GAMING KB K7PLUS;$ 21.500,00;$ 20.000,00
prod-teclado-mlogix-mk104-ghost-bus-392;TECLADO MLOGIX MK104 GHOST BUSTER RGB;$ 22.000,00;$ 19.000,00
prod-0-952;TECLADO GENIUS SCORPION GAMING KB K12;$ 31.000,00;$ 29.500,00
prod-mouse-genius-optico-55;Mouse Genius Optico;$ 3.000,00;$ 3.000,00
prod-mouse-genius-usb-dx-123-grey-810;MOUSE GENIUS USB DX-123 GREY;$ 5.000,00;$ 5.000,00
prod-mouse-genius-usb-dx-123-blue-695;MOUSE GENIUS USB DX-123 BLUE;$ 5.000,00;$ 5.000,00
